2023-11-21 11:48:42,080 | INFO | hellow world
2023-11-21 13:08:36,910 | INFO | hellow world
2023-11-21 13:09:14,151 | INFO | hellow world
2023-11-21 13:09:14,151 | INFO | Snowflake Connector for Python Version: 3.4.1, Python Version: 3.11.2, Platform: Windows-10-10.0.22621-SP0
2023-11-21 13:09:14,151 | INFO | This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
2023-11-21 13:09:15,017 | INFO | closed
2023-11-21 13:09:15,017 | INFO | No async queries seem to be running, deleting session
2023-11-21 13:12:43,363 | INFO | hellow world
2023-11-21 13:12:43,375 | INFO | Snowflake Connector for Python Version: 3.4.1, Python Version: 3.11.2, Platform: Windows-10-10.0.22621-SP0
2023-11-21 13:12:43,376 | INFO | This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
2023-11-21 13:12:44,024 | INFO | closed
2023-11-21 13:12:44,025 | INFO | No async queries seem to be running, deleting session
2023-11-21 13:15:02,626 | INFO | hellow world
2023-11-21 13:15:02,626 | INFO | Snowflake Connector for Python Version: 3.4.1, Python Version: 3.11.2, Platform: Windows-10-10.0.22621-SP0
2023-11-21 13:15:02,632 | INFO | This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
2023-11-21 13:15:03,468 | INFO | closed
2023-11-21 13:15:03,468 | INFO | No async queries seem to be running, deleting session
2023-11-21 13:16:31,740 | INFO | hellow world
2023-11-21 13:16:31,740 | INFO | Snowflake Connector for Python Version: 3.4.1, Python Version: 3.11.2, Platform: Windows-10-10.0.22621-SP0
2023-11-21 13:16:31,745 | INFO | This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
2023-11-21 13:16:32,484 | INFO | creating a stage in snowflake
2023-11-21 13:16:32,550 | INFO | closed
2023-11-21 13:16:32,550 | INFO | No async queries seem to be running, deleting session
2023-11-21 13:19:34,113 | INFO | hellow world
2023-11-21 13:19:34,113 | INFO | Snowflake Connector for Python Version: 3.4.1, Python Version: 3.11.2, Platform: Windows-10-10.0.22621-SP0
2023-11-21 13:19:34,113 | INFO | This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
2023-11-21 13:19:34,980 | INFO | creating a stage in snowflake
2023-11-21 13:19:34,981 | INFO | query exicution start
2023-11-21 13:19:34,982 | INFO | query: [CREATE OR REPLACE STAGE MOCK_01.mock_01_schema.MOCK_01_STAGE FILE_FORMAT = (TYPE...]
2023-11-21 13:19:35,118 | INFO | query execution done
